tkstatusid,causa
12556449,"Se elimina, solo Se reinició equipo...."
12575308,
12576902,
12577561,
12586254,
12587992,
12589452,
12594898,
12596374,
12601290,
12601346,
12590882,
12596202,
12596839,
12603539,
12605044,
12618788,
12618978,
12630411,
12631145,
12581006,
12581086,
12653155,
12591399,
12562855,
12566251,
12577897,
12578286,
12578353,
12578424,
12586312,
12585604,
12585956,
12586302,
12609431,
12629077,
12629241,
12654623,
12641774,
12628459,
12554830,
12554887,
12556612,
12556684,
12559136,
12559139,
12578602,
12578616,
12585624,
12585649,
12626307,
12626319,
12633700,
12633880,
12640113,
12640257,
12640260,
12643788,
12577655,
12577842,
12577943,
12578337,
12584555,
12584658,
12585445,
12585461,
12609308,
12580634,
12593304,
12576852,
12585020,
12586423,
12585999,
12597660,
12617335,
12617511,
12623441,
12593305,
12593298,
12593290,
12593308,
12593315,
12593309,
12593282,
12593310,
12593291,
12593299,
12593300,
12593301,
12593314,
12593294,
12593295,
12593325,
12593326,
12593283,
12593311,
12593312,
12593292,
12593313,
12593281,
12593316,
12593285,
12558980,
12558997,
12560434,
12561799,
12565518,
12582707,
12602463,
12602638,
12638444,
12638777,
12643640,
12643846,
12643849,
12655093,
12653896,
12654013,
12576456,
12576603,
12586771,
12588517,
