tkstatusid;duracion_decimal
12580800;0.67
12609553;0.25
12631671;0.33
12654385;1.73
12654076;0.52
12654016;2.37
12570212;2.79
12588125;3.17
12598777;3.13
12653701;3.28
12591827;3
12772701;2.55
12615046;2.48
12761601;0.93
12762701;0.78
12772593;1.27
12699207;3.05
12711264;8.58
12686813;1.47
12758276;2.03
12701580;4.4
12694710;5.43
12690877;2.45
12761769;0.7
12725111;3.75
12865013;6.3
12865013;5.73
12841510;0.77
12838577;1.55
12838396;3.22
12724394;2.71
12728191;4.13
12746868;2.7
12728957;3.08
12690081;2.18
12698112;2.28
12882464;1.33
12903232;6.2225
12957170;0.82
12978397;0.5
