ticketid;description;reportedby;reportdate;cinum;internalpriority;reportedpriority;siteid5;status;owner;ownergroup;assetnum;failurecode;failurereportid;linenum;orgid;siteid;ticketclass;ticketid1;type;wonum;description2;failurecode3;failurecodeid;orgid4
5685384;FALLA DATOS - GT GT TIWS;TIWS;1/01/2017 0:34;53904;4;;ON;CLOSED;;NOC_ON;;;;;;;;;;;;;;
5685399;BUC,VAS,MINGOB,C醡ara,Sin Imagen;EJMENCOS;1/01/2017 2:58;GT-1193 1;3;;BUC;CLOSED;CRMORALESR;;;1021;261358;1047;COMCEL;;INCIDENT;5685399;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685399;BUC,VAS,MINGOB,C醡ara,Sin Imagen;EJMENCOS;1/01/2017 2:58;GT-1193 1;3;;BUC;CLOSED;CRMORALESR;;;102109;261359;1073;COMCEL;;INCIDENT;5685399;CAUSE;;Corte de fibra por Movimiento de Postes;102109;84;COMCEL
5685399;BUC,VAS,MINGOB,C醡ara,Sin Imagen;EJMENCOS;1/01/2017 2:58;GT-1193 1;3;;BUC;CLOSED;CRMORALESR;;;10210101;261360;1129;COMCEL;;INCIDENT;5685399;REMEDY;;Reparacion tramo fibra;10210101;119;COMCEL
5685498;FALLA CORE TX - RIESGO;;1/01/2017 7:51;TELL@BSA.TE607;2;;OT;CLOSED;;MASTERTX;;7011;261392;1713;COMCEL;;INCIDENT;5685498;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5685498;FALLA CORE TX - RIESGO;;1/01/2017 7:51;TELL@BSA.TE607;2;;OT;CLOSED;;MASTERTX;;701116;261393;1755;COMCEL;;INCIDENT;5685498;CAUSE;;AA Congelado;701116;687;COMCEL
5685498;FALLA CORE TX - RIESGO;;1/01/2017 7:51;TELL@BSA.TE607;2;;OT;CLOSED;;MASTERTX;;70110116;261394;1789;COMCEL;;INCIDENT;5685498;REMEDY;;revision AA;70110116;721;COMCEL
5685499;FALLA CORE TX - RIESGO;;1/01/2017 7:58;TELL@BSA.TE6609;2;5;OT;CLOSED;;MASS-TX;;7011;261349;1713;COMCEL;;INCIDENT;5685499;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5685499;FALLA CORE TX - RIESGO;;1/01/2017 7:58;TELL@BSA.TE6609;2;5;OT;CLOSED;;MASS-TX;;701101;261350;1719;COMCEL;;INCIDENT;5685499;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5685499;FALLA CORE TX - RIESGO;;1/01/2017 7:58;TELL@BSA.TE6609;2;5;OT;CLOSED;;MASS-TX;;70110101;261351;1759;COMCEL;;INCIDENT;5685499;REMEDY;;reconexion de energia;70110101;691;COMCEL
5685541;Nodo JP6254A Down;GPINEDA;1/01/2017 10:16;HFC@JP6254A;;;TH;CLOSED;;PEINGFRA;;1021;261366;1047;COMCEL;;INCIDENT;5685541;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685541;Nodo JP6254A Down;GPINEDA;1/01/2017 10:16;HFC@JP6254A;;;TH;CLOSED;;PEINGFRA;;102133;261367;5387;COMCEL;;INCIDENT;5685541;CAUSE;;Causas naturales;102133;1868;COMCEL
5685541;Nodo JP6254A Down;GPINEDA;1/01/2017 10:16;HFC@JP6254A;;;TH;CLOSED;;PEINGFRA;;10212904;261368;5795;COMCEL;;INCIDENT;5685541;REMEDY;;Corrimiento de reserva y fusion con mufa;10212904;1883;COMCEL
5685559;FALLA CORE TX - RIESGO;;1/01/2017 10:46;RECTIFICADOR@EMERSON10.25.4.82;2;5;OT;CLOSED;;RF-IZB02;;7011;261361;1713;COMCEL;;INCIDENT;5685559;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5685559;FALLA CORE TX - RIESGO;;1/01/2017 10:46;RECTIFICADOR@EMERSON10.25.4.82;2;5;OT;CLOSED;;RF-IZB02;;701108;261362;1737;COMCEL;;INCIDENT;5685559;CAUSE;;Rectificador Inhibido;701108;594;COMCEL
5685614;FALLA CORE TX - AFECTACION;;1/01/2017 13:47;IPRAN@ALU.10.20.9.6;3;5;OT;CLOSED;;RF-EPG01;;7011;261363;1713;COMCEL;;INCIDENT;5685614;PROBLEM;;ENERGIA y TEMP - ENERGIA/TEMP;7011;578;COMCEL
5685614;FALLA CORE TX - AFECTACION;;1/01/2017 13:47;IPRAN@ALU.10.20.9.6;3;5;OT;CLOSED;;RF-EPG01;;701101;261364;1719;COMCEL;;INCIDENT;5685614;CAUSE;;Mala Calidad de Energia Comercial;701101;580;COMCEL
5685614;FALLA CORE TX - AFECTACION;;1/01/2017 13:47;IPRAN@ALU.10.20.9.6;3;5;OT;CLOSED;;RF-EPG01;;70110101;261365;1759;COMCEL;;INCIDENT;5685614;REMEDY;;reconexion de energia;70110101;691;COMCEL
5685799;FALLA DATOS;herbert zacarias;2/01/2017 7:33;82223;5;;BUC;CLOSED;;PEBUCOW;;1021;261434;1047;COMCEL;;INCIDENT;5685799;PROBLEM;;CORTE DE FIBRA;1021;66;COMCEL
5685799;FALLA DATOS;herbert zacarias;2/01/2017 7:33;82223;5;;BUC;CLOSED;;PEBUCOW;;102101;261435;1055;COMCEL;;INCIDENT;5685799;CAUSE;;Roedor se come la fibra;102101;68;COMCEL
5685799;FALLA DATOS;herbert zacarias;2/01/2017 7:33;82223;5;;BUC;CLOSED;;PEBUCOW;;10210106;261437;2559;COMCEL;;INCIDENT;5685799;REMEDY;;Fusion de hilos de fibra;10210106;1030;COMCEL
