ticketid,description,reportdate,internalpriority,changedate,ownergroup,siteid,decimal_duration
1300004,FALLA DATOS,"Feb 15, 2016 8:02 AM",5,"Feb 15, 2016 8:34 AM",PEBUCOW,BUC,1.13
1300032,FALLA DATOS,"Feb 15, 2016 8:12 AM",5,"Feb 15, 2016 10:20 AM",PEBUCOW,BUC,8.24
1300056,FALLA DATOS,"Feb 15, 2016 8:31 AM",5,"Feb 15, 2016 10:06 AM",PEBUCOW,BUC,3.04
1300064,FALLA INTERNET,"Feb 15, 2016 8:38 AM",4,"Feb 15, 2016 9:28 AM",PEBUCOW,BUC,3.99
1300066,FALLA TELEFONIA,"Feb 15, 2016 8:39 AM",4,"Feb 15, 2016 10:05 AM",PEBUCOW,BUC,2.51
1300336,FALLA TELEFONIA,"Feb 15, 2016 9:57 AM",3,"Feb 15, 2016 10:22 AM",PEBUCOW,BUC,2.16
1300426,FALLA DE DATOS,"Feb 15, 2016 10:46 AM",4,"Feb 15, 2016 1:24 PM",PEBUCOW,BUC,2.76
1300443,FALLA INTERNET,"Feb 15, 2016 11:21 AM",5,"Feb 15, 2016 1:25 PM",PEBUCOW,BUC,2.58
1300443,FALLA INTERNET,"Feb 15, 2016 11:21 AM",5,"Feb 16, 2016 9:07 AM",PEBUCOW,BUC,1.14
1300677,FALLA DATOS,"Feb 15, 2016 1:29 PM",5,"Feb 16, 2016 9:07 AM",PEBUCOW,BUC,1.02
1300677,FALLA DATOS,"Feb 15, 2016 1:29 PM",5,"Feb 16, 2016 10:47 AM",PEBUCOW,BUC,4.23
1300702,FALLA TELEFONIA,"Feb 15, 2016 2:21 PM",3,"Feb 16, 2016 8:17 AM",PEBUCOW,BUC,3.44
1300736,FALLA DATOS,"Feb 15, 2016 2:51 PM",4,"Feb 15, 2016 3:28 PM",PEBUCOW,BUC,1.23
1300818,FALLA DATOS,"Feb 15, 2016 4:06 PM",5,"Feb 16, 2016 9:17 AM",PEBUCOW,BUC,3.83
1300902,FALLA INTERNET,"Feb 15, 2016 4:54 PM",5,"Feb 16, 2016 8:58 AM",PEBUCOW,BUC,0.01
1300902,FALLA INTERNET,"Feb 15, 2016 4:54 PM",5,"Feb 16, 2016 12:30 PM",PEBUCOW,BUC,0.67
1300992,FALLA INTERNET,"Feb 15, 2016 6:57 PM",4,"Feb 16, 2016 9:34 AM",PEBUCOW,BUC,1.63
1301218,FALLA TELEFONIA,"Feb 16, 2016 7:57 AM",4,"Feb 16, 2016 9:42 AM",PEBUCOW,BUC,3.16
1301308,FALLA INTERNET,"Feb 16, 2016 9:01 AM",4,"Feb 16, 2016 10:33 AM",PEBUCOW,BUC,3.09
1301512,FALLA DATOS,"Feb 16, 2016 10:48 AM",4,"Feb 16, 2016 12:27 PM",PEBUCOW,BUC,0.45
1301512,FALLA DATOS,"Feb 16, 2016 10:48 AM",4,"Feb 18, 2016 11:25 AM",PEBUCOW,BUC,1.65
1302272,FALLA DATOS,"Feb 16, 2016 12:55 PM",5,"Feb 16, 2016 2:26 PM",PEBUCOW,BUC,0.12
1302552,"FALLA DATOS - MNLT GUATEMALA, S.A.","Feb 16, 2016 2:58 PM",4,"Feb 16, 2016 3:42 PM",PEBUCOW,BUC,1.71
1303110,FALLA DATOS,"Feb 16, 2016 7:18 PM",4,"Feb 16, 2016 8:47 PM",PEBUCOW,BUC,3.26
1303815,FALLA DATOS,"Feb 17, 2016 8:36 AM",4,"Feb 17, 2016 9:10 AM",PEBUCOW,BUC,1.13
1303857,FALLA TELEFONIA,"Feb 17, 2016 9:07 AM",4,"Feb 17, 2016 9:36 AM",PEBUCOW,BUC,0.01
1303857,FALLA TELEFONIA,"Feb 17, 2016 9:07 AM",4,"Feb 17, 2016 9:38 AM",PEBUCOW,BUC,3.09
1303870,FALLA DATOS,"Feb 17, 2016 9:30 AM",4,"Feb 18, 2016 9:37 AM",PEBUCOW,BUC,0.46
1303870,FALLA DATOS,"Feb 17, 2016 9:30 AM",4,"Feb 19, 2016 9:37 AM",PEBUCOW,BUC,0.13
1303893,FALLA DATOS - Super Vitaminas S.A.,"Feb 17, 2016 10:05 AM",4,"Feb 17, 2016 12:48 PM",PEBUCOW,BUC,4.22
1303893,FALLA DATOS - Super Vitaminas S.A.,"Feb 17, 2016 10:05 AM",4,"Feb 18, 2016 9:07 AM",PEBUCOW,BUC,0.09
1303893,FALLA DATOS - Super Vitaminas S.A.,"Feb 17, 2016 10:05 AM",4,"Feb 18, 2016 9:17 AM",PEBUCOW,BUC,0.02
1304122,FALLA DATOS,"Feb 17, 2016 1:17 PM",4,"Feb 17, 2016 2:01 PM",PEBUCOW,BUC,1.71
1304222,INESTABILIDAD/LENTITUD DATOS,"Feb 17, 2016 3:00 PM",5,"Feb 17, 2016 4:11 PM",PEBUCOW,BUC,0.09
1304222,INESTABILIDAD/LENTITUD DATOS,"Feb 17, 2016 3:00 PM",5,"Feb 18, 2016 9:07 AM",PEBUCOW,BUC,0.77
1304757,FALLA INTERNET,"Feb 17, 2016 5:10 PM",5,"Feb 18, 2016 7:07 AM",PEBUCOW,BUC,0.69
1305296,FALLA INTERNET,"Feb 18, 2016 7:53 AM",4,"Feb 18, 2016 8:38 AM",PEBUCOW,BUC,4.59
1305312,FALLA DATOS,"Feb 18, 2016 8:18 AM",5,"Feb 18, 2016 9:20 AM",PEBUCOW,BUC,3.4
1305321,FALLA INTERNET,"Feb 18, 2016 8:30 AM",5,"Feb 18, 2016 9:13 AM",PEBUCOW,BUC,6.12
1305411,FALLA INTERNET,"Feb 18, 2016 9:39 AM",5,"Feb 18, 2016 10:14 AM",PEBUCOW,BUC,2.72
1305420,FALLA INTERNET,"Feb 18, 2016 9:50 AM",4,"Feb 18, 2016 11:35 AM",PEBUCOW,BUC,1.33
1305589,FALLA INTERNET,"Feb 18, 2016 12:20 PM",4,"Feb 18, 2016 12:29 PM",PEBUCOW,BUC,4.85
1305641,FALLA DATOS,"Feb 18, 2016 1:02 PM",5,"Feb 18, 2016 3:07 PM",PEBUCOW,BUC,1.3
1305735,FALLA DATOS,"Feb 18, 2016 3:06 PM",5,"Feb 18, 2016 3:42 PM",PEBUCOW,BUC,1.43
1305863,FALLA INTERNET,"Feb 18, 2016 3:49 PM",4,"Feb 19, 2016 10:11 AM",PEBUCOW,BUC,0.8
1341941,FALLA INTERNET,"Mar 11, 2016 8:12 AM",5,2016-03-11,PEBUCOW,BUC,3.99
1342173,FALLA INTERNET,"Mar 11, 2016 12:42 PM",4,"Mar 11, 2016 1:05 PM",PEBUCOW,BUC,0.44
1342173,FALLA INTERNET,"Mar 11, 2016 12:42 PM",4,"Mar 11, 2016 2:06 PM",PEBUCOW,BUC,2.94
1342260,LENTITUD/INESTABILIDAD INTERNET,"Mar 11, 2016 2:48 PM",4,"Mar 11, 2016 6:27 PM",PEBUCOW,BUC,2.65
1342837,FALLA TELEFONIA,"Mar 12, 2016 11:29 AM",4,"Mar 12, 2016 11:56 AM",PEBUCOW,BUC,3.06
1343361,FALLA DATOS,"Mar 13, 2016 3:18 PM",4,"Mar 13, 2016 3:46 PM",PEBUCOW,BUC,1.71
1343549,FALLA INTERNET,"Mar 14, 2016 9:01 AM",4,"Mar 14, 2016 11:21 AM",PEBUCOW,BUC,0.77
1343549,FALLA INTERNET,"Mar 14, 2016 9:01 AM",4,"Mar 14, 2016 1:02 PM",PEBUCOW,BUC,7.06
1343577,FALLA DATOS,"Mar 14, 2016 9:45 AM",5,"Mar 14, 2016 12:08 PM",PEBUCOW,BUC,1.86
1343594,FALLA TELEFONIA,"Mar 14, 2016 10:08 AM",4,"Mar 14, 2016 11:03 AM",PEBUCOW,BUC,1.86
1343602,FALLA INTERNET,"Mar 14, 2016 10:22 AM",4,"Mar 14, 2016 4:17 PM",PEBUCOW,BUC,0.32
1343602,FALLA INTERNET,"Mar 14, 2016 10:22 AM",4,"Mar 14, 2016 4:49 PM",PEBUCOW,BUC,1.45
1343745,FALLA DATOS,"Mar 14, 2016 12:33 PM",5,"Mar 14, 2016 1:09 PM",PEBUCOW,BUC,5.44
1343768,FALLA DATOS,"Mar 14, 2016 1:08 PM",4,"Mar 14, 2016 2:05 PM",PEBUCOW,BUC,3.5
1343803,FALLA INTERNET,"Mar 14, 2016 2:35 PM",4,"Mar 15, 2016 8:17 AM",PEBUCOW,BUC,0.44
1343986,FALLA TELEFONIA,"Mar 14, 2016 6:14 PM",3,"Mar 14, 2016 6:57 PM",PEBUCOW,BUC,0.96
1343992,FALLA INTERNET,"Mar 14, 2016 6:25 PM",5,"Mar 15, 2016 8:09 PM",PEBUCOW,BUC,3.59
1344329,FALLA INTERNET,"Mar 14, 2016 11:19 PM",5,"Mar 15, 2016 8:46 AM",PEBUCOW,BUC,1.8
1344402,FALLA TELEFONIA,"Mar 15, 2016 7:49 AM",4,"Mar 15, 2016 9:34 AM",PEBUCOW,BUC,1.47
1344609,FALLA DATOS,"Mar 15, 2016 9:59 AM",5,"Mar 15, 2016 1:08 PM",PEBUCOW,BUC,0.81
1344694,FALLA DATOS,"Mar 15, 2016 10:50 AM",5,"Mar 15, 2016 11:06 AM",PEBUCOW,BUC,1.34
1344783,FALLA INTERNET,"Mar 15, 2016 11:42 AM",5,"Mar 16, 2016 10:08 AM",PEBUCOW,BUC,0.24
1344907,FALLA INTERNET,"Mar 15, 2016 1:58 PM",4,"Mar 15, 2016 2:23 PM",PEBUCOW,BUC,0.87
1344984,FALLA DATOS,"Mar 15, 2016 3:25 PM",5,"Mar 16, 2016 8:08 AM",PEBUCOW,BUC,2
1345704,FALLA INTERNET,"Mar 16, 2016 8:09 AM",4,"Mar 16, 2016 8:35 AM",PEBUCOW,BUC,2.25
1345714,FALLA DATOS,"Mar 16, 2016 8:22 AM",4,"Mar 16, 2016 8:48 AM",PEBUCOW,BUC,3.17
1345750,FALLA DATOS,"Mar 16, 2016 8:39 AM",4,"Mar 16, 2016 9:42 AM",PEBUCOW,BUC,2.28
1345885,FALLA INTERNET,"Mar 16, 2016 9:43 AM",4,"Mar 16, 2016 11:32 AM",PEBUCOW,BUC,2.07
1345958,FALLA INTERNET - Jica GT,"Mar 16, 2016 10:55 AM",4,"Mar 16, 2016 11:38 AM",PEBUCOW,ON,1.79
1345958,FALLA INTERNET - Jica GT,"Mar 16, 2016 10:55 AM",4,"Mar 16, 2016 1:52 PM",PEBUCOW,ON,1.14
1345958,FALLA INTERNET - Jica GT,"Mar 16, 2016 10:55 AM",4,"Mar 16, 2016 3:08 PM",PEBUCOW,ON,0.67
1345958,FALLA INTERNET - Jica GT,"Mar 16, 2016 10:55 AM",4,"Mar 16, 2016 3:48 PM",PEBUCOW,ON,0.02
1346006,LENTITUD/INESTABILIDAD INTERNET,"Mar 16, 2016 11:48 AM",4,"Mar 16, 2016 1:49 PM",PEBUCOW,BUC,0.56
1346006,LENTITUD/INESTABILIDAD INTERNET,"Mar 16, 2016 11:48 AM",4,"Mar 16, 2016 2:27 PM",PEBUCOW,BUC,2.58
1346050,FALLA INTERNET,"Mar 16, 2016 12:33 PM",4,"Mar 16, 2016 1:10 PM",PEBUCOW,BUC,2.88
1346050,FALLA INTERNET,"Mar 16, 2016 12:33 PM",4,"Mar 17, 2016 7:08 AM",PEBUCOW,BUC,0.85
1346050,FALLA INTERNET,"Mar 16, 2016 12:33 PM",4,"Mar 17, 2016 8:42 AM",PEBUCOW,BUC,0.63
1346098,"BUC,GCI,Cliente,Planta Telefonica","Mar 16, 2016 1:52 PM",5,"Mar 16, 2016 2:52 PM",PEBUCOW,BUC,1.64
1346171,FALLA INTERNET,"Mar 16, 2016 3:56 PM",4,"Mar 16, 2016 5:42 PM",PEBUCOW,BUC,1.52
1346177,FALLA DATOS,"Mar 16, 2016 4:09 PM",5,"Mar 16, 2016 5:46 PM",PEBUCOW,BUC,1.36
1346185,FALLA INTERNET,"Mar 16, 2016 4:26 PM",4,"Mar 16, 2016 5:45 PM",PEBUCOW,BUC,0.78
1346185,FALLA INTERNET,"Mar 16, 2016 4:26 PM",4,"Mar 16, 2016 7:57 PM",PEBUCOW,BUC,0.02
1346185,FALLA INTERNET,"Mar 16, 2016 4:26 PM",4,"Mar 16, 2016 9:38 PM",PEBUCOW,BUC,1.87
1346721,FALLA DATOS,"Mar 17, 2016 9:42 AM",5,"Mar 17, 2016 2:39 PM",PEBUCOW,BUC,2.54
1346750,FALLA DATOS,"Mar 17, 2016 10:16 AM",5,"Mar 17, 2016 11:01 AM",PEBUCOW,BUC,0.09
1346750,FALLA DATOS,"Mar 17, 2016 10:16 AM",5,"Mar 17, 2016 11:08 AM",PEBUCOW,BUC,2.01
1346817,FALLA DATOS,"Mar 17, 2016 11:34 AM",4,"Mar 17, 2016 12:03 PM",PEBUCOW,BUC,1.32
1346817,FALLA DATOS,"Mar 17, 2016 11:34 AM",4,"Mar 17, 2016 2:30 PM",PEBUCOW,BUC,1.01
1346987,FALLA DATOS,"Mar 17, 2016 3:17 PM",4,"Mar 17, 2016 5:32 PM",PEBUCOW,BUC,1.02
1347061,FALLA INTERNET,"Mar 17, 2016 3:53 PM",5,"Mar 18, 2016 10:36 AM",PEBUCOW,BUC,0.12
1347115,FALLA DATOS - SIMAN PRADERA CONCEPCION,"Mar 17, 2016 4:03 PM",3,"Mar 18, 2016 8:08 AM",PEBUCOW,ON,2.09
1347130,FALLA INTERNET,"Mar 17, 2016 4:18 PM",4,"Mar 18, 2016 7:48 AM",PEBUCOW,BUC,3.21
1347152,FALLA TELEFONIA,"Mar 17, 2016 4:46 PM",3,"Mar 18, 2016 10:38 AM",PEBUCOW,BUC,0.05
1347152,FALLA TELEFONIA,"Mar 17, 2016 4:46 PM",3,"Mar 18, 2016 11:27 AM",PEBUCOW,BUC,0.16
1347213,FALLA DATOS,"Mar 17, 2016 6:28 PM",5,"Mar 18, 2016 10:07 AM",PEBUCOW,BUC,1.55
1351898,FALLA DATOS,"Mar 27, 2016 7:20 AM",5,"Mar 27, 2016 10:28 AM",PEBUCOW,BUC,2.81
1352003,FALLA DATOS,"Mar 27, 2016 1:56 PM",4,"Mar 27, 2016 2:30 PM",PEBUCOW,BUC,1.07
1352155,FALLA INTERNET,"Mar 28, 2016 8:19 AM",4,"Mar 28, 2016 9:16 AM",PEBUCOW,BUC,0.08
1352155,FALLA INTERNET,"Mar 28, 2016 8:19 AM",4,"Mar 28, 2016 10:01 AM",PEBUCOW,BUC,1.64
1352219,FALLA INTERNET,"Mar 28, 2016 9:16 AM",4,"Mar 28, 2016 9:44 AM",PEBUCOW,BUC,1.73
1352270,FALLA TELEFONIA,"Mar 28, 2016 10:21 AM",4,"Mar 28, 2016 11:48 AM",PEBUCOW,BUC,0.84
1352331,FALLA DATOS,"Mar 28, 2016 11:35 AM",4,"Mar 28, 2016 12:31 PM",PEBUCOW,BUC,2.91
1352368,FALLA INTERNET,"Mar 28, 2016 12:10 PM",5,"Mar 28, 2016 12:42 PM",PEBUCOW,BUC,0.01
1352368,FALLA INTERNET,"Mar 28, 2016 12:10 PM",5,"Mar 28, 2016 12:44 PM",PEBUCOW,BUC,0.4
1352368,FALLA INTERNET,"Mar 28, 2016 12:10 PM",5,"Mar 28, 2016 3:08 PM",PEBUCOW,BUC,1.35
1352374,FALLA DATOS,"Mar 28, 2016 12:18 PM",5,"Mar 28, 2016 3:30 PM",PEBUCOW,BUC,1.01
1352374,FALLA DATOS,"Mar 28, 2016 12:18 PM",5,"Mar 28, 2016 4:47 PM",PEBUCOW,BUC,2.27
1352449,FALLA TELEFONIA,"Mar 28, 2016 2:18 PM",4,"Mar 28, 2016 3:20 PM",PEBUCOW,BUC,1.35
1352472,FALLA INTERNET,"Mar 28, 2016 2:54 PM",4,"Mar 28, 2016 3:41 PM",PEBUCOW,BUC,2.31
1352516,FALLA INTERNET,"Mar 28, 2016 3:44 PM",4,"Mar 30, 2016 3:02 PM",PEBUCOW,BUC,1.38
1352636,FALLA INTERNET,"Mar 28, 2016 6:36 PM",4,"Mar 28, 2016 7:29 PM",PEBUCOW,BUC,2.5
1352797,FALLA INTERNET,"Mar 29, 2016 7:51 AM",4,"Mar 29, 2016 8:47 AM",PEBUCOW,BUC,3.97
1353006,FALLA INTERNET,"Mar 29, 2016 9:59 AM",5,"Mar 29, 2016 11:44 AM",PEBUCOW,BUC,3.93
1353117,FALLA INTERNET,"Mar 29, 2016 11:42 AM",4,"Mar 29, 2016 12:53 PM",PEBUCOW,BUC,3.15
1353153,FALLA DATOS,"Mar 29, 2016 12:02 PM",5,"Mar 29, 2016 1:09 PM",PEBUCOW,BUC,3.32
1353163,LENTITUD/INESTABILIDAD DATOS,"Mar 29, 2016 12:18 PM",4,"Mar 29, 2016 1:06 PM",PEBUCOW,BUC,3.63
1354664,FALLA DATOS,"Mar 29, 2016 4:14 PM",4,"Mar 29, 2016 5:23 PM",PEBUCOW,BUC,2.81
1354735,FALLA DATOS,"Mar 29, 2016 5:08 PM",5,"Mar 30, 2016 9:08 AM",PEBUCOW,BUC,3.39
1355339,FALLA DATOS,"Mar 30, 2016 8:13 AM",4,"Mar 30, 2016 10:51 AM",PEBUCOW,BUC,1.64
1355437,FALLA TELEFONIA,"Mar 30, 2016 10:15 AM",4,"Mar 30, 2016 10:48 AM",PEBUCOW,BUC,1.61
1355437,FALLA TELEFONIA,"Mar 30, 2016 10:15 AM",4,"Mar 30, 2016 4:52 PM",PEBUCOW,BUC,0.21
1355553,FALLA DATOS,"Mar 30, 2016 12:09 PM",5,"Mar 30, 2016 12:47 PM",PEBUCOW,BUC,2.39
1355672,FALLA INTERNET,"Mar 30, 2016 2:15 PM",4,"Mar 30, 2016 2:49 PM",PEBUCOW,BUC,0.58
1355677,FALLA DATOS,"Mar 30, 2016 2:28 PM",4,"Mar 30, 2016 3:34 PM",PEBUCOW,BUC,1.79
1355677,FALLA DATOS,"Mar 30, 2016 2:28 PM",4,"Mar 30, 2016 6:10 PM",PEBUCOW,BUC,1.66
1356015,FALLA DATOS - NOVARTIS GT,"Mar 30, 2016 9:40 PM",3,"Mar 31, 2016 10:52 AM",PEBUCOW,ON,3.44
1356652,FALLA DATOS,"Mar 31, 2016 9:00 AM",5,"Mar 31, 2016 12:12 PM",PEBUCOW,BUC,0.01
1356652,FALLA DATOS,"Mar 31, 2016 9:00 AM",5,"Apr 1, 2016 7:09 AM",PEBUCOW,BUC,1.87
1356659,FALLA DATOS,"Mar 31, 2016 9:05 AM",5,"Mar 31, 2016 1:12 PM",PEBUCOW,BUC,1.21
1356672,FALLA INTERNET,"Mar 31, 2016 9:19 AM",5,"Mar 31, 2016 9:39 AM",PEBUCOW,BUC,1.22
1356685,FALLA DATOS,"Mar 31, 2016 9:33 AM",5,"Mar 31, 2016 10:14 AM",PEBUCOW,BUC,5.75
1357176,"BUC,GCI,Transmisión","Mar 31, 2016 2:53 PM",4,"Mar 31, 2016 3:29 PM",PEBUCOW,BUC,2.98
