tkstatusid;ticketid;description;reportdate;changedate;internalpriority;siteid;ownergroup;decimal_duration;new_decimal_duration;empresa;sede;area;target;region;tec_solution;rca_ts;ttk_tigo_star;reportedpriority;indicatedpriority;isglobal;relatedtoglobal
12554852;6048302;FALLA CORE TX - AFECTACION;16/07/2017 06:22;16/07/2017 07:17;3;OT;MASS-TX;0.25;0.25;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12554939;6048302;FALLA CORE TX - AFECTACION;16/07/2017 06:22;16/07/2017 07:32;3;OT;RF-ESC01;3.4;3.4;Masscardy;ESCUINTLA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12554887;6048345;INCIDENTE DE NODO OPTICO TO5248B;16/07/2017 07:09;16/07/2017 07:26;NA;TH;PEINGCTR;3.3;3.3;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;SIN INTERVENCION;NO APLICA;NA;NA;NA;NA
12555007;6048357;FALLA CORE TX - AFECTACION;16/07/2017 07:23;16/07/2017 07:48;3;OT;PEINGZCP;0.05;0.05;Ingetelca;TECULUTAN;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12555116;6048357;FALLA CORE TX - AFECTACION;16/07/2017 07:23;16/07/2017 08:18;3;OT;PEINGZCP;3.79;3.79;Ingetelca;TECULUTAN;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;1;NA
12555204;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 08:45;2;OT;MASS-TX;0.43;0.43;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12555297;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 09:11;2;OT;RF-GUA05;3.34;3.34;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556627;6048425;FALLA CORE TX - RIESGO;16/07/2017 08:35;16/07/2017 12:37;2;OT;RF-GUA05;2.73;2.73;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556060;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 10:07;3;OT;MASS-TX;0.31;0.31;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556098;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 10:25;3;OT;RF-EPG01;1.05;1.05;Masscardy;EL PROGRESO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12557020;6048477;FALLA CORE TX - AFECTACION;16/07/2017 09:53;16/07/2017 13:52;3;OT;RF-EPG01;2.53;2.53;Masscardy;EL PROGRESO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12556088;6048478;FALLA DATOS;16/07/2017 09:56;16/07/2017 10:20;5;BUC;PEBUCOW;3.23;3.23;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12556148;6048489;FALLA CORE TX - AFECTACION;16/07/2017 10:17;16/07/2017 10:44;3;OT;PESOLQTZ;0.05;0.05;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12556156;6048489;FALLA CORE TX - AFECTACION;16/07/2017 10:17;16/07/2017 10:46;3;OT;PESOLCOA;2.27;2.27;Soltec;COATEPEQUE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12556684;6048583;INCIDENTE EN NODO OPTICO MP6147A;16/07/2017 12:32;16/07/2017 12:49;NA;TH;PEINGVN;2.55;2.55;Ingetelca;VILLA NUEVA;PLEX;3;CENTRAL;CORE;MALA CALIDAD DE ENERGIA COMERCIAL;NO APLICA;NA;NA;NA;NA
12556780;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:14;3;OT;MASS-TX;0.19;0.19;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12556928;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:25;3;OT;RF-AVP03;0.07;0.07;Masscardy;ALTA VERAPAZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12556985;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 13:47;3;OT;RF-AVP03;1.61;1.61;Masscardy;ALTA VERAPAZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12557397;6048604;FALLA CORE TX - AFECTACION;16/07/2017 12:54;16/07/2017 15:23;3;OT;PESOLAVP;1.53;1.53;Soltec;COBAN;PLEX;4;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12558770;6048998;FALLA CORE TX - AFECTACION;16/07/2017 18:58;16/07/2017 19:10;3;OT;MASS-TX;0.34;0.34;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12558839;6048998;FALLA CORE TX - AFECTACION;16/07/2017 18:58;16/07/2017 19:30;3;OT;RF-PTN02;0.72;0.72;Masscardy;PETEN;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12558962;6049021;FALLA CORE TX - AFECTACION;16/07/2017 19:44;16/07/2017 20:06;3;OT;PESOLQTZ;2.66;2.66;Soltec;QUETZALTENANGO;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12559139;6049050;INCIDENTE DE NODO OPTICO AB5044B;16/07/2017 21:43;16/07/2017 21:57;NA;TH;PEINGCTR;1.26;1.26;Ingetelca;CENTRAL;PLEX;3;CENTRAL;CORE;MALA CALIDAD DE ENERGIA COMERCIAL;NO APLICA;NA;NA;NA;NA
12559313;6049071;FALLA CORE TX - AFECTACION;17/07/2017 01:21;17/07/2017 01:38;3;OT;MASS-TX;0.25;0.25;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559320;6049071;FALLA CORE TX - AFECTACION;17/07/2017 01:21;17/07/2017 01:54;3;OT;RF-QTZ01;5.99;5.99;Masscardy;QUETZALTENANGO;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559327;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 02:09;2;OT;MASS-TX;1.83;1.83;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559444;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 03:59;2;OT;RF-JTP02;0.57;0.57;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559558;6049074;FALLA CORE TX - RIESGO;17/07/2017 01:48;17/07/2017 04:33;2;OT;PW-CHQ01;3.29;3.29;Masscardy;CHIQUIMULA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559438;6049081;FALLA CORE TX - AFECTACION;17/07/2017 03:09;17/07/2017 03:46;3;OT;MASS-TX;0.34;0.34;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559537;6049081;FALLA CORE TX - AFECTACION;17/07/2017 03:09;17/07/2017 04:06;3;OT;RF-PTN03;5.87;5.87;Masscardy;PETEN;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12559436;6049085;FALLA CORE TX - AFECTACION;17/07/2017 03:19;17/07/2017 03:39;3;OT;MASS-TX;0.4;0.4;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559533;6049085;FALLA CORE TX - AFECTACION;17/07/2017 03:19;17/07/2017 04:03;3;OT;RF-SCH01;2.97;2.97;Masscardy;SUCHITEPEQUEZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12560504;6049184;FALLA DATOS / DATA SERVICE OUTAGE;17/07/2017 04:46;17/07/2017 08:16;4;ON;PEBUCOW;0.73;0.73;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12560981;6049184;FALLA DATOS / DATA SERVICE OUTAGE;17/07/2017 04:46;17/07/2017 09:09;4;ON;PEBUCOW;0.08;0.08;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12559681;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:22;2;OT;MASS-TX;0.17;0.17;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559696;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:35;2;OT;MASS-TX;0.24;0.24;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12559788;6049190;FALLA CORE TX - RIESGO;17/07/2017 05:04;17/07/2017 05:49;2;OT;RF-MET03;5.89;5.89;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12560764;6049270;FALLA INTERNET;17/07/2017 08:10;17/07/2017 08:43;5;BUC;PEBUCESC;2.56;2.56;Ingetelca;ESCUINTLA;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12560797;6049278;FALLA CORE TX - RIESGO;17/07/2017 08:14;17/07/2017 08:48;2;OT;PEINGFRA;3.76;3.76;Ingetelca;FRAIJANES;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
12560873;6049315;FALLA CORE TX - RIESGO;17/07/2017 08:43;17/07/2017 08:58;2;OT;MASS-TX;0.55;0.55;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;NA;NA
12561134;6049315;FALLA CORE TX - RIESGO;17/07/2017 08:43;17/07/2017 09:31;2;OT;PW-JTP01;0.26;0.26;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;NA;NA
12565321;6049337;BUC,VAS,MINGOB,CÁMARA,FOCO;17/07/2017 09:21;17/07/2017 16:21;5;BUC;PEBUCOW;0.5;0.5;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12562896;6049466;FALLA TX CORE - AFECTACION;17/07/2017 11:12;17/07/2017 11:47;2;OT;MASS-TX;0.56;0.56;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;2;NA;NA
12563269;6049466;FALLA TX CORE - AFECTACION;17/07/2017 11:12;17/07/2017 12:20;2;OT;RF-SCH01;1.04;1.04;Masscardy;SUCHITEPEQUEZ;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;2;NA;NA
12563450;6049499;FALLA DATOS;17/07/2017 11:33;17/07/2017 12:31;5;BUC;PEBUCOW;1.33;1.33;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12563164;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 12:07;3;OT;MASS-TX;0.61;0.61;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563747;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 12:44;3;OT;RF-GUA02;0.33;0.33;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563888;6049506;FALLA CORE TX - AFECTACION;17/07/2017 11:46;17/07/2017 13:04;3;OT;RF-MET03;1.38;1.38;Masscardy;CENTRAL;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563051;6049509;FALLA CORE TX - RIESGO;17/07/2017 11:51;17/07/2017 11:54;2;OT;MASS-TX;0.6;0.6;Masscardy;MONITOREO;PLIN;2.5;CENTRAL;CORE;NA;SI APLICA;5;3;1;NA
12563441;6049509;FALLA CORE TX - RIESGO;17/07/2017 11:51;17/07/2017 12:30;2;OT;PW-JTP01;9.26;9.26;Masscardy;JUTIAPA;PLIN;2.5;RURAL;CORE;NA;SI APLICA;5;3;1;NA
12568766;6049685;FALLA INTERNET;17/07/2017 14:31;18/07/2017 08:06;4;BUC;PEBUCOW;0.55;0.55;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12570299;6049685;FALLA INTERNET;17/07/2017 14:31;18/07/2017 10:06;4;BUC;PEBUCOW;0.64;0.64;Ingetelca;CENTRAL;PLEX;3;CENTRAL;BUC;NA;SI APLICA;NA;NA;NA;NA
12564971;6049720;FALLA CORE TX - AFECTACION;17/07/2017 14:59;17/07/2017 15:33;3;OT;PEINGRD;1.72;1.72;Ingetelca;RIO DULCE;PLEX;4;RURAL;CORE;NA;SI APLICA;NA;NA;NA;NA
